prompt_id,role,category,skill,difficulty,question_type,source_type,question,prompt,chosen_source,chosen_temperature,chosen_reward,chosen,rejected_temperature,rejected_reward,rejected,judge_margin,viable_candidate_count,judge_model,selection_policy
ALG_002,算法工程师,模型训练,过拟合与欠拟合,初级,基础概念,human_seed,如何判断一个模型是过拟合还是欠拟合？你通常会采用哪些方法进行改进？,"[{'role': 'user', 'content': '如何判断一个模型是过拟合还是欠拟合？你通常会采用哪些方法进行改进？'}]",sft_reference,,20.875,我一般对比训练集和验证集的指标：如果两边效果都差，通常是欠拟合，可以增加有效特征、提升模型复杂度、减小正则化或增加训练轮数；如果训练集很好但验证集明显更差，通常是过拟合，可以增加数据、加强正则化、降低模型复杂度、做特征筛选或使用早停，同时也要排除数据分布不一致和特征泄漏等问题。,0.9,16.0,"过拟合：训练集得分很高，但验证集或测试集明显下降。欠拟合：两个分数都很低。

改进方式：
- 调整超参数（如L2正则化），增加数据量，做特征工程。
- 如果是深度学习，减少层数、节点数或激活函数，或加入Dropout和BatchNorm。",4.875,5,Skywork/Skywork-Reward-V2-Qwen3-4B,reference_first_then_top_sample_hard_negative
ALG_003,算法工程师,正则化,L1与L2正则化,初级,原理与方法比较,human_seed,L1正则化和L2正则化有什么区别？在什么场景下你会优先选择其中一种？,"[{'role': 'user', 'content': 'L1正则化和L2正则化有什么区别？在什么场景下你会优先选择其中一种？'}]",sft_reference,,23.0,L1正则化惩罚参数绝对值，容易把部分参数压到0，因此能产生稀疏模型并实现特征选择，适合高维稀疏特征或希望模型更易解释的场景；L2正则化惩罚参数平方，通常不会把参数变为0，但能让参数更加平滑稳定，适合特征相关性较强或更关注泛化能力的场景，实际中也可以用Elastic Net同时结合两者。,0.3,22.125,"L1正则化和L2正则化本质上是惩罚模型复杂度的手段，但惩罚方式不同。L1（Lasso）惩罚的是绝对值，相当于把系数往零拉，容易让某些系数直接变成0，产生稀疏解，适合做特征筛选；L2（Ridge）惩罚的是平方，对所有系数都平滑地压小，不会让系数完全消失，更适合做泛化。

在实际场景中，如果目标是降维或减少参数量，我会优先选L1，因为它的稀疏性更直观；如果目标是提升预测精度，或者希望保留更多信息，我就会选L2。",0.875,5,Skywork/Skywork-Reward-V2-Qwen3-4B,reference_first_then_top_sample_hard_negative
ALG_005,算法工程师,模型训练,类别不平衡,中级,实操或任务题,human_seed,现在有一个正负样本比例为1:200的欺诈识别任务，请给出从数据处理到模型评估的完整方案。,"[{'role': 'user', 'content': '现在有一个正负样本比例为1:200的欺诈识别任务，请给出从数据处理到模型评估的完整方案。'}]",sft_reference,,21.625,我会先按照时间划分训练集、验证集和测试集，避免未来信息泄漏，并检查标签延迟、重复样本和用户交叉问题；特征上构造交易金额、频率、设备关联、地域变化和历史行为等特征，训练阶段可以使用负样本下采样、类别权重或Focal Loss，但验证集要保持真实分布；模型先用逻辑回归做基线，再尝试LightGBM或XGBoost，评估时重点看PR-AUC、固定误杀率下的Recall、固定Recall下的Precision以及实际拦截收益，最后根据业务成本选择阈值，并通过线上实验验证。,0.3,16.75,"欺诈识别任务的核心是区分正常用户和高风险用户，因此需要先对数据进行预处理和特征工程。具体来说，我会先做缺失值填充、异常值检测和类别编码，然后提取用户行为序列、交易金额分布等特征，并使用时间戳、设备指纹和IP地址等元数据作为辅助特征。

接下来是模型选择和调参。由于样本比例极低，我倾向于先用XGBoost或LightGBM这类树模型，因为它们对不平衡问题有较好的表现；同时可以尝试集成学习，比如Bagging或Stacking，降低单个模型的误判率。调参时我会重点关注树的深度、叶子节点数、学习率和正则化参数，通过交叉验证找到最优组合。

最后是评估指标。对于欺诈识别，AUC-ROC通常不适用，因为假阳性率远高于真阳性率。我会优先看PR-AUC，它更关注召回率；另外也看F1-score和精确率-召回率曲线，确保模型在高风险场景下不漏掉欺诈。如果业务上容忍少量误判，也可以接受更高的误报率来提升召回率。

本质上，欺诈识别不是追求绝对准确率，而是要控制误判成本，所以评估指标必须反映“抓到坏人”的价值。",4.875,6,Skywork/Skywork-Reward-V2-Qwen3-4B,reference_first_then_top_sample_hard_negative
ALG_008,算法工程师,推荐系统,效果与性能权衡,高级,业务场景或案例题,human_seed,推荐系统需要把P99延迟从120毫秒降到50毫秒，同时尽量不损失效果，你会如何设计优化方案？,"[{'role': 'user', 'content': '推荐系统需要把P99延迟从120毫秒降到50毫秒，同时尽量不损失效果，你会如何设计优化方案？'}]",sft_reference,,26.625,我会先对召回、特征查询、粗排、精排和网络通信分别做性能分析，找到真正的延迟瓶颈；优化上可以减少候选集规模、并行多个召回通道、缓存或预计算用户特征、减少跨服务调用、优化特征存储，并对排序模型做蒸馏、量化、剪枝和算子融合；同时设置超时、降级和兜底策略，整个过程不仅看平均延迟，还要持续观察P99、吞吐量、资源消耗和线上业务指标，通过灰度和A/B实验确认效果没有明显下降。,0.5,22.25,"推荐系统的P99延迟和效果之间，本质上是“延迟”和“召回/排序质量”的跷跷板。我的思路分三步：第一，先做延迟解耦——把用户请求拆成两层：一层是冷启动或长尾场景，直接走轻量模型（比如基于内容的embedding加简单排序）；另一层是高频稳定用户，走复杂模型（LR+CTR）。这样既保证核心用户的时效性，又不浪费计算资源在低频上。

第二，对重试和降级做统一处理。重试不是简单重发，而是用“弹性负载均衡”把流量打散到多个节点，每个节点有独立的队列和缓存，避免单点故障拖垮整个链路。降级更关键——如果某个模块（比如特征提取）异常，就临时切到备用模型，或者直接返回一个兜底结果，但必须记录失败原因，定期回滚。

第三，监控和灰度。延迟指标要按业务线分开看，因为不同品类、不同用户群的延迟阈值不一样。灰度上，先跑一小部分流量，观察效果是否下降，再逐步放量。本质上就是：用分流换速度，用降级保安全，用监控验证决策。",4.375,3,Skywork/Skywork-Reward-V2-Qwen3-4B,reference_first_then_top_sample_hard_negative
ALG_010,算法工程师,项目经验,模型迭代过程,中级,项目经历深挖,human_seed,请讲一个模型从基线方案迭代到最终版本的过程。,"[{'role': 'user', 'content': '请讲一个模型从基线方案迭代到最终版本的过程。'}]",sft_reference,,18.25,第一版我会用简单模型和基础特征建立可复现的基线；第二版换成更强的非线性模型，解决简单模型表达能力不足的问题；第三版补充用户历史、序列和交叉特征，提升对复杂模式的识别能力；第四版通过类别权重、概率校准和阈值优化，让离线指标真正对应业务收益；最后再进行特征裁剪和模型压缩以满足线上延迟要求，每次改动都通过固定数据集上的对照实验和消融实验验证，最终还要通过线上A/B测试确认收益。,0.3,13.0,模型从基线方案迭代到最终版本，核心是不断验证“这个模型在真实任务上是否真的更优”。具体流程分三步：第一，用小规模数据或简单规则做初步评估，确认方向；第二，逐步扩大训练集和调参，观察指标波动和过拟合迹象，及时回退；第三，上线后持续监控线上表现，包括误判率、延迟、资源消耗，一旦偏离预期就重新调整。整个过程中要记录每一步的决策依据和实验结果，形成可追溯的迭代日志。,5.25,3,Skywork/Skywork-Reward-V2-Qwen3-4B,reference_first_then_top_sample_hard_negative
ALG_012,算法工程师,模型部署,大模型与小模型选择,高级,方案权衡或开放题,human_seed,面对一个效果更好但成本和延迟明显更高的大模型，以及一个效果略差但部署简单的小模型，你会如何做最终选择？,"[{'role': 'user', 'content': '面对一个效果更好但成本和延迟明显更高的大模型，以及一个效果略差但部署简单的小模型，你会如何做最终选择？'}]",sft_reference,,27.5,我会先明确业务的硬约束，包括延迟、吞吐、资源预算、稳定性和效果要求，然后计算大模型带来的增量业务收益能否覆盖额外成本；对于实时推荐、广告或风控场景，通常更倾向小模型，而对于低频、高价值、效果优先的任务，大模型可能更合适；实际中也可以采用大小模型级联，让小模型处理大多数简单请求，大模型只处理高价值或低置信度样本，或者通过知识蒸馏把大模型能力迁移到小模型，最终通过线上A/B测试和投入产出比做决定。,0.3,22.75,我的做法是先看业务目标：如果要快速上线、控制成本且容忍一定精度损失，我会选小模型；但如果需要高精度、低延迟或对结果有严格要求，比如金融风控、医疗诊断这类场景，我宁愿多花点钱买大模型。本质上是权衡精度、延迟、成本和可用性，没有绝对标准，得根据具体场景来定。,4.75,6,Skywork/Skywork-Reward-V2-Qwen3-4B,reference_first_then_top_sample_hard_negative
ALG_013,算法工程师,机器学习,监督学习,初级,基础概念,self_instruct,请解释偏差-方差权衡（Bias-Variance Tradeoff）的核心概念。当模型过拟合时，偏差和方差分别处于什么状态？,"[{'role': 'user', 'content': '请解释偏差-方差权衡（Bias-Variance Tradeoff）的核心概念。当模型过拟合时，偏差和方差分别处于什么状态？'}]",sft_reference,,15.875,偏差表示模型预测的平均结果与真实规律之间的差距，方差表示模型对训练数据变化的敏感程度。模型太简单时通常偏差高、方差低，容易欠拟合；模型太复杂时通常偏差低、方差高，容易过拟合。过拟合模型在训练集上表现很好，但换一批数据性能明显下降，因此核心问题是方差过高，可以通过增加数据、正则化、降低模型复杂度或集成学习改善。,0.5,15.375,"偏差衡量的是预测值与真实目标之间的平均差距，方差衡量的是在不同训练集上重复训练后预测结果的波动程度。

当模型过拟合时，偏差降低（因为模型试图精确地拟合训练数据），但方差显著升高（因为模型对噪声敏感）。此时模型在训练集上的表现很好，但在未见过的数据上预测不稳定。",0.5,6,Skywork/Skywork-Reward-V2-Qwen3-4B,reference_first_then_top_sample_hard_negative
ALG_015,算法工程师,深度学习,神经网络基础,中级,基础概念,self_instruct,请从数学角度推导反向传播算法（Backpropagation）中权重更新的梯度计算过程，以包含一个隐藏层的全连接网络为例。,"[{'role': 'user', 'content': '请从数学角度推导反向传播算法（Backpropagation）中权重更新的梯度计算过程，以包含一个隐藏层的全连接网络为例。'}]",sft_reference,,5.09375,前向传播时，输入先经过隐藏层得到中间表示，再经过输出层得到预测结果，并计算损失。反向传播就是从损失开始，先计算输出层对误差承担了多少，再把这个误差按照各层连接关系逐层传回隐藏层。每个权重的梯度，本质上取决于它对下一层输出的影响，以及下一层输出对最终损失的影响。最后使用这些梯度调整权重，使下一次预测的损失更小，核心原理就是链式法则。,1.1,2.984375,"反向传播的本质就是把误差沿网络方向往回传递，最终落到每个参数上。

假设我们有隐藏层、输出层和损失函数L。我们要求w2, w1这些权重在最小化L下的微小调整量∆W。第一步是输出层对Loss的偏导，就是链式法则：∂L/∂w2 = ∂L/∂h·∂h/∂y²·∂y²/∂w2。这里L=4，∂L/∂h是反向传递得到的；∂h/∂y²是损失关于输出单元的导数；∂y²/∂w2则是w2当前值乘以输出层的激活函数在y²处的倒数。

第二步，藏在一个“辅助方程”里，因为隐藏层到输出层的传导有隐式的中间变量（例如sigmoid层后面通常跟了ReLU）。但核心逻辑是：每一层权重变化量 ∆w = α × (∂L/∂w)×(神经元个数)。α是学习率。

注意，这里是单向传递——从左到右，损失先打给输出单元，再由隐藏层逐步向前累加导数。",2.109375,4,Skywork/Skywork-Reward-V2-Qwen3-4B,reference_first_then_top_sample_hard_negative
ALG_016,算法工程师,深度学习,激活函数,初级,基础概念,self_instruct,ReLU激活函数相比Sigmoid和Tanh有哪些优势和劣势？请从梯度消失、计算效率和输出特性三个角度分析，并介绍常见的ReLU变体。,"[{'role': 'user', 'content': 'ReLU激活函数相比Sigmoid和Tanh有哪些优势和劣势？请从梯度消失、计算效率和输出特性三个角度分析，并介绍常见的ReLU变体。'}]",sft_reference,,21.5,ReLU在正数区间的梯度比较稳定，因此比Sigmoid和Tanh更不容易出现梯度消失，而且计算只需要判断正负，效率很高，输出中还会产生较多零值，具有一定稀疏性。它的缺点是负数区间梯度为零，某些神经元可能长期不再更新，而且输出不以零为中心。常见变体有Leaky ReLU、PReLU、ELU和GELU，它们主要是在负数区域保留一定梯度，减少神经元失活问题。,0.3,14.875,ReLU激活函数的优势在于它没有饱和区，因此在反向传播时不会出现梯度消失的问题，训练速度更快；同时它的输出范围是负无穷到正无穷，可以避免输出值被压缩到一个很小的区间，使得后续层的输入更接近零，从而降低过拟合的风险。但ReLU也有劣势，比如当输入为负数时，它的导数始终为零，这会导致神经元无法更新权重，容易陷入局部极小值。为了缓解这个问题，常用的ReLU变体有Leaky ReLU、PReLU和ELU，它们分别通过引入负斜率、随机初始化或指数函数来解决梯度消失问题。,6.625,5,Skywork/Skywork-Reward-V2-Qwen3-4B,reference_first_then_top_sample_hard_negative
ALG_017,算法工程师,数据结构与算法,排序算法,初级,实操或任务题,self_instruct,给定一个无序整数数组，请手写快速排序（Quick Sort）的代码实现，并分析其时间复杂度和空间复杂度，说明如何选择基准元素以避免最坏情况。,"[{'role': 'user', 'content': '给定一个无序整数数组，请手写快速排序（Quick Sort）的代码实现，并分析其时间复杂度和空间复杂度，说明如何选择基准元素以避免最坏情况。'}]",sft_reference,,13.5625,快速排序的核心是选择一个基准元素，把数组分成比基准小和比基准大的两部分，然后分别递归排序。平均情况下，它的时间复杂度是 n log n 级别，最坏情况下会退化到平方级别，例如每次都选到最大值或最小值；递归空间平均是对数级别。实际中通常使用随机基准、三数取中，或者在重复元素很多时使用三路划分，降低退化风险。,0.5,12.1875,"快速排序的基本思路是：先选一个基准元素，把比它小的放前面、比它大的放后面，然后递归地对左右两部分重复这个操作。时间复杂度在平均情况下是O(n log n)，因为每次划分后数组大致被二分；但在最坏情况下，如果每次都挑到最小或最大值作为基准，比如输入已经有序或者几乎递增/递减，那么每次划分只得到一个子问题，时间复杂度会退化到O(n^2)。为了避免这种情况，可以随机选取基准元素，或者用三数取中法——从头尾各取一个元素，中间一个是基准，这样能减少极端情况下的影响。

 🕏",1.375,5,Skywork/Skywork-Reward-V2-Qwen3-4B,reference_first_then_top_sample_hard_negative
