question,answer,source,domain,answer_type,normalized_question,q_len,a_len,removal_reason
What's a professional skill you wish you were better at?,"If I'm honest, a tendency to over-commit because I want to help with everything. I've gotten more disciplined about saying no early, with a clear reason, rather than saying yes and then delivering late or diluting my focus across too many things.",local_interview_qa,behavioral,behavioral_star,whats a professional skill you wish you were better at,56,246,duplicate_question_over_cap
What's a professional skill you wish you were better at?,"If I'm honest, less confidence presenting to senior executives earlier in my career. I've deliberately sought out more opportunities to present to leadership, and I prepare by anticipating the two or three hardest questions in advance so I walk in ready rather than anxious.",local_interview_qa,behavioral,behavioral_star,whats a professional skill you wish you were better at,56,274,duplicate_question_over_cap
What would you say is your biggest weakness?,"If I'm honest, less confidence presenting to senior executives earlier in my career. I've deliberately sought out more opportunities to present to leadership, and I prepare by anticipating the two or three hardest questions in advance so I walk in ready rather than anxious.",local_interview_qa,behavioral,behavioral_star,what would you say is your biggest weakness,44,274,duplicate_question_over_cap
Where do you think you still have room to grow as a Product Manager?,"If I'm honest, a tendency toward perfectionism, where I sometimes spend longer polishing something than the situation strictly requires. I've gotten better at setting an explicit 'good enough to ship' bar up front, and checking in with myself against that bar instead of an open-ended standard.",local_interview_qa,behavioral,behavioral_star,where do you think you still have room to grow as a product manager,68,294,duplicate_question_over_cap
Tell me about an area you're actively working to improve.,"If I'm honest, impatience with slow, consensus-heavy decision-making. I've learned to channel that impatience into proposing a clear default and a deadline for objections, rather than just pushing harder, which usually speeds things up without steamrolling anyone.",local_interview_qa,behavioral,behavioral_star,tell me about an area youre actively working to improve,57,264,duplicate_question_over_cap
What's a professional skill you wish you were better at?,"If I'm honest, early in my career, underweighting engineering feasibility before locking in a plan. I now make a point of bringing in that perspective at the start rather than the end, even if it means the plan takes a bit longer to finalize.",local_interview_qa,behavioral,behavioral_star,whats a professional skill you wish you were better at,56,242,duplicate_question_over_cap
What would you say is your biggest weakness?,"If I'm honest, impatience with slow, consensus-heavy decision-making. I've learned to channel that impatience into proposing a clear default and a deadline for objections, rather than just pushing harder, which usually speeds things up without steamrolling anyone.",local_interview_qa,behavioral,behavioral_star,what would you say is your biggest weakness,44,264,duplicate_question_over_cap
What would you say is your biggest weakness?,"If I'm honest, finding it hard to delegate, because I default to just doing it myself when something matters. I've started deliberately handing off pieces I'd normally keep, even when it's slower at first, because the team gets stronger and I get more capacity for the things only I can do.",local_interview_qa,behavioral,behavioral_star,what would you say is your biggest weakness,44,290,duplicate_question_over_cap
What feedback have you received that was hard to hear but useful?,"If I'm honest, a tendency toward perfectionism, where I sometimes spend longer polishing something than the situation strictly requires. I've gotten better at setting an explicit 'good enough to ship' bar up front, and checking in with myself against that bar instead of an open-ended standard.",local_interview_qa,behavioral,behavioral_star,what feedback have you received that was hard to hear but useful,65,294,duplicate_question_over_cap
Where do you think you still have room to grow as a Product Manager?,"If I'm honest, less confidence presenting to senior executives earlier in my career. I've deliberately sought out more opportunities to present to leadership, and I prepare by anticipating the two or three hardest questions in advance so I walk in ready rather than anxious.",local_interview_qa,behavioral,behavioral_star,where do you think you still have room to grow as a product manager,68,274,duplicate_question_over_cap
