question,answer,source,domain,answer_type,normalized_question,removal_reason
What would you say is your biggest weakness?,"If I'm honest, early in my career, underweighting engineering feasibility before locking in a plan. I now make a point of bringing in that perspective at the start rather than the end, even if it means the plan takes a bit longer to finalize.",local_interview_qa,behavioral,behavioral_star,what would you say is your biggest weakness,duplicate_question_over_cap_3
What's a professional skill you wish you were better at?,"If I'm honest, impatience with slow, consensus-heavy decision-making. I've learned to channel that impatience into proposing a clear default and a deadline for objections, rather than just pushing harder, which usually speeds things up without steamrolling anyone.",local_interview_qa,behavioral,behavioral_star,whats a professional skill you wish you were better at,duplicate_question_over_cap_3
What would you say is your biggest weakness?,"If I'm honest, a tendency to over-commit because I want to help with everything. I've gotten more disciplined about saying no early, with a clear reason, rather than saying yes and then delivering late or diluting my focus across too many things.",local_interview_qa,behavioral,behavioral_star,what would you say is your biggest weakness,duplicate_question_over_cap_3
Tell me about an area you're actively working to improve.,"If I'm honest, early in my career, underweighting engineering feasibility before locking in a plan. I now make a point of bringing in that perspective at the start rather than the end, even if it means the plan takes a bit longer to finalize.",local_interview_qa,behavioral,behavioral_star,tell me about an area youre actively working to improve,duplicate_question_over_cap_3
What's a professional skill you wish you were better at?,"If I'm honest, a tendency to over-commit because I want to help with everything. I've gotten more disciplined about saying no early, with a clear reason, rather than saying yes and then delivering late or diluting my focus across too many things.",local_interview_qa,behavioral,behavioral_star,whats a professional skill you wish you were better at,duplicate_question_over_cap_3
Where do you think you still have room to grow as a Product Manager?,"If I'm honest, impatience with slow, consensus-heavy decision-making. I've learned to channel that impatience into proposing a clear default and a deadline for objections, rather than just pushing harder, which usually speeds things up without steamrolling anyone.",local_interview_qa,behavioral,behavioral_star,where do you think you still have room to grow as a product manager,duplicate_question_over_cap_3
What feedback have you received that was hard to hear but useful?,"If I'm honest, a tendency to over-commit because I want to help with everything. I've gotten more disciplined about saying no early, with a clear reason, rather than saying yes and then delivering late or diluting my focus across too many things.",local_interview_qa,behavioral,behavioral_star,what feedback have you received that was hard to hear but useful,duplicate_question_over_cap_3
What would you say is your biggest weakness?,"If I'm honest, a tendency toward perfectionism, where I sometimes spend longer polishing something than the situation strictly requires. I've gotten better at setting an explicit 'good enough to ship' bar up front, and checking in with myself against that bar instead of an open-ended standard.",local_interview_qa,behavioral,behavioral_star,what would you say is your biggest weakness,duplicate_question_over_cap_3
What's a professional skill you wish you were better at?,"If I'm honest, less confidence presenting to senior executives earlier in my career. I've deliberately sought out more opportunities to present to leadership, and I prepare by anticipating the two or three hardest questions in advance so I walk in ready rather than anxious.",local_interview_qa,behavioral,behavioral_star,whats a professional skill you wish you were better at,duplicate_question_over_cap_3
Tell me about an area you're actively working to improve.,"If I'm honest, a tendency toward perfectionism, where I sometimes spend longer polishing something than the situation strictly requires. I've gotten better at setting an explicit 'good enough to ship' bar up front, and checking in with myself against that bar instead of an open-ended standard.",local_interview_qa,behavioral,behavioral_star,tell me about an area youre actively working to improve,duplicate_question_over_cap_3
