id,role,category,skill,question_type,difficulty,seniority,question,interview_intent,expected_points,source_type,answer
ALG_001,算法工程师,机器学习基础,偏差与方差,基础概念,初级,校招｜1-3年,请解释机器学习中的偏差和方差，它们分别过高时通常会出现什么现象？,考查候选人是否理解泛化误差的基本来源。,偏差与方差的定义｜欠拟合与过拟合的对应关系｜训练集和验证集表现｜常见改进方向,human_seed,偏差表示模型的假设与真实规律之间的差距。偏差过高通常说明模型太简单，会出现欠拟合：训练集和验证集效果都比较差，而且两者差距不大。方差表示模型对训练数据波动的敏感程度。方差过高通常说明模型过度记住了训练数据，会出现过拟合：训练集效果很好，但验证集明显变差，换一批数据结果波动也比较大。本质上就是在模型复杂度和泛化能力之间做平衡
ALG_002,算法工程师,模型训练,过拟合与欠拟合,基础概念,初级,校招｜1-3年,如何判断一个模型是过拟合还是欠拟合？你通常会采用哪些方法进行改进？,考查候选人能否根据训练现象诊断模型并提出基础解决方案。,训练误差与验证误差｜学习曲线｜正则化与数据增强｜模型复杂度调整｜早停,human_seed,我一般对比训练集和验证集的指标：如果两边效果都差，通常是欠拟合，可以增加有效特征、提升模型复杂度、减小正则化或增加训练轮数；如果训练集很好但验证集明显更差，通常是过拟合，可以增加数据、加强正则化、降低模型复杂度、做特征筛选或使用早停，同时也要排除数据分布不一致和特征泄漏等问题。
ALG_003,算法工程师,正则化,L1与L2正则化,原理与方法比较,初级,校招｜1-3年,L1正则化和L2正则化有什么区别？在什么场景下你会优先选择其中一种？,考查候选人对常用正则化方法及其适用场景的理解。,惩罚项形式｜稀疏性｜参数收缩｜特征选择｜共线性场景｜优化性质,human_seed,L1正则化惩罚参数绝对值，容易把部分参数压到0，因此能产生稀疏模型并实现特征选择，适合高维稀疏特征或希望模型更易解释的场景；L2正则化惩罚参数平方，通常不会把参数变为0，但能让参数更加平滑稳定，适合特征相关性较强或更关注泛化能力的场景，实际中也可以用Elastic Net同时结合两者。
ALG_004,算法工程师,模型评估,分类评估指标,原理与方法比较,初级,校招｜1-3年,准确率、Precision、Recall、F1、ROC-AUC和PR-AUC分别适合衡量什么？,考查候选人是否能根据任务特点选择分类模型评估指标。,混淆矩阵｜各指标定义｜类别不平衡影响｜阈值依赖性｜业务误判成本,human_seed,Accuracy适合类别比较均衡且不同错误成本接近的任务；Precision关注预测为正的样本中有多少是真的，适合误报成本高的场景；Recall关注真实正样本中有多少被找出来，适合漏报成本高的场景；F1用于综合平衡Precision和Recall；ROC-AUC衡量模型整体区分正负样本的排序能力；PR-AUC更关注正样本识别效果，在欺诈检测等极度类别不平衡的任务中通常更有参考价值。
ALG_005,算法工程师,模型训练,类别不平衡,实操或任务题,中级,1-3年｜3-5年,现在有一个正负样本比例为1:200的欺诈识别任务，请给出从数据处理到模型评估的完整方案。,考查候选人解决严重类别不平衡问题的完整能力。,采样策略｜类别权重｜合适模型｜数据泄漏防范｜PR-AUC与Recall｜阈值选择｜成本敏感评估,human_seed,我会先按照时间划分训练集、验证集和测试集，避免未来信息泄漏，并检查标签延迟、重复样本和用户交叉问题；特征上构造交易金额、频率、设备关联、地域变化和历史行为等特征，训练阶段可以使用负样本下采样、类别权重或Focal Loss，但验证集要保持真实分布；模型先用逻辑回归做基线，再尝试LightGBM或XGBoost，评估时重点看PR-AUC、固定误杀率下的Recall、固定Recall下的Precision以及实际拦截收益，最后根据业务成本选择阈值，并通过线上实验验证。
ALG_006,算法工程师,特征工程,数据泄漏识别,实操或任务题,中级,1-3年｜3-5年,接手一个效果异常好的模型时，你会如何系统检查是否存在特征泄漏或标签泄漏？,考查候选人对数据切分、特征时点和线上可用性的敏感度。,按时间检查特征可用性｜训练验证切分方式｜目标编码泄漏｜重复样本｜离线线上特征一致性｜消融实验,human_seed,我首先会检查每个特征在预测时刻是否真实可用，尤其关注订单最终状态、退款结果等事后字段；然后检查聚合特征是否使用了未来数据、目标编码是否在全量数据上计算、同一个用户或设备是否跨训练集和测试集；接着做单特征训练、删除可疑特征、随机打乱标签以及严格时间切分实验，如果某个特征单独就有异常高的效果，或者换成时间外测试后指标大幅下降，通常就要重点怀疑泄漏。
ALG_007,算法工程师,线上效果,离线与线上不一致,业务场景或案例题,中级,1-3年｜3-5年,一个点击率预估模型的离线AUC明显提升，但上线后CTR和收入都没有改善，你会从哪些方面排查？,考查候选人能否连接离线指标、系统链路和真实业务结果。,指标相关性｜实验设计与流量分层｜特征一致性｜打分延迟｜排序策略联动｜反馈回路｜统计显著性,human_seed,我会先确认AUC是否和业务目标一致，因为整体排序提升不代表头部推荐位置一定提升，还需要看GAUC、Top-K指标、校准误差以及分用户表现；然后检查线上线下特征、样本定义、模型版本和预处理逻辑是否一致，并排查特征延迟和数据分布漂移；业务上还要看模型是否只提升了低价值点击、是否影响转化率和客单价、实验流量是否被其他策略覆盖，以及A/B实验周期和样本量是否足够。
ALG_008,算法工程师,推荐系统,效果与性能权衡,业务场景或案例题,高级,3-5年｜5年以上,推荐系统需要把P99延迟从120毫秒降到50毫秒，同时尽量不损失效果，你会如何设计优化方案？,考查候选人在模型、特征、召回排序和工程性能之间进行系统权衡的能力。,链路性能剖析｜多级召回与排序｜模型蒸馏或量化｜特征缓存｜异步并行｜降级策略｜效果与延迟实验,human_seed,我会先对召回、特征查询、粗排、精排和网络通信分别做性能分析，找到真正的延迟瓶颈；优化上可以减少候选集规模、并行多个召回通道、缓存或预计算用户特征、减少跨服务调用、优化特征存储，并对排序模型做蒸馏、量化、剪枝和算子融合；同时设置超时、降级和兜底策略，整个过程不仅看平均延迟，还要持续观察P99、吞吐量、资源消耗和线上业务指标，通过灰度和A/B实验确认效果没有明显下降。
ALG_009,算法工程师,项目经验,个人贡献识别,项目经历深挖,中级,校招｜1-3年｜3-5年,请选择一个你最有代表性的算法项目，说明业务目标、数据规模、模型方案、你的个人贡献和最终结果。,考查项目真实性、问题定义能力和个人贡献边界。,业务目标｜数据与基线｜方案选择依据｜个人负责部分｜指标提升｜上线结果｜复盘,human_seed,我做过一个交易欺诈识别项目，目标是在控制正常用户误杀率的情况下提升欺诈交易召回率，数据规模是数亿条历史交易记录，正负样本比例接近1:300；模型从逻辑回归基线迭代到LightGBM，并加入用户历史行为、设备关联、金额偏离和时间窗口特征；我主要负责数据切分、泄漏排查、特征体系建设、类别不平衡处理和阈值策略设计，最终在误杀率基本不变的情况下，欺诈召回率提升约10%，同时满足了线上实时推理要求。
ALG_010,算法工程师,项目经验,模型迭代过程,项目经历深挖,中级,1-3年｜3-5年,请讲一个模型从基线方案迭代到最终版本的过程。,考查候选人是否具备可验证、可复现的模型迭代方法。,基线建立｜问题定位｜单变量实验｜消融实验｜离线与在线验证｜失败尝试｜收益归因,human_seed,第一版我会用简单模型和基础特征建立可复现的基线；第二版换成更强的非线性模型，解决简单模型表达能力不足的问题；第三版补充用户历史、序列和交叉特征，提升对复杂模式的识别能力；第四版通过类别权重、概率校准和阈值优化，让离线指标真正对应业务收益；最后再进行特征裁剪和模型压缩以满足线上延迟要求，每次改动都通过固定数据集上的对照实验和消融实验验证，最终还要通过线上A/B测试确认收益。
